skin_tone,nail_shape,nail_length,style_preference,occasion,recommended_design
neutral,almond,long,bold,date,Terracotta Swirl
warm,square,medium,classic,date,French Classic
neutral,squoval,long,bold,work,Cat Eye
neutral,almond,short,classic,party,Berry Jelly
cool,stiletto,medium,minimal,daily,Minimal Nude
cool,oval,medium,minimal,wedding,Korean Pink
cool,almond,long,bold,party,Marble
neutral,squoval,long,classic,party,Terracotta Swirl
cool,coffin,medium,minimal,work,Minimal Nude
cool,coffin,medium,minimal,date,Korean Pink
warm,coffin,short,classic,party,French Classic
neutral,square,short,bold,party,Terracotta Swirl
cool,almond,medium,minimal,date,Korean Pink
cool,square,medium,classic,wedding,Korean Pink
warm,oval,long,classic,daily,French Classic
cool,square,short,minimal,party,Berry Jelly
cool,round,short,classic,party,Korean Pink
neutral,squoval,medium,classic,party,Korean Pink
neutral,oval,short,bold,party,Terracotta Swirl
neutral,squoval,short,bold,wedding,Cat Eye
neutral,almond,medium,classic,work,French Classic
cool,almond,short,bold,party,Marble
neutral,round,short,bold,daily,French Classic
neutral,square,long,bold,daily,Terracotta Swirl
warm,oval,long,bold,date,Glitter Gold
neutral,almond,short,classic,date,French Classic
warm,coffin,long,minimal,daily,Minimal Nude
warm,oval,long,bold,party,Marble
neutral,square,medium,bold,daily,Cat Eye
warm,square,medium,minimal,party,Terracotta Swirl
cool,squoval,medium,minimal,daily,Minimal Nude
neutral,oval,medium,minimal,work,Minimal Nude
warm,oval,medium,classic,work,Minimal Nude
warm,round,long,minimal,wedding,Glitter Gold
cool,oval,medium,classic,wedding,Korean Pink
warm,round,short,minimal,date,Minimal Nude
cool,almond,long,classic,daily,Korean Pink
cool,squoval,long,classic,daily,Korean Pink
cool,coffin,short,minimal,wedding,Korean Pink
neutral,coffin,short,minimal,date,Minimal Nude
warm,square,long,classic,party,Marble
neutral,oval,short,classic,date,French Classic
warm,almond,medium,bold,party,Terracotta Swirl
neutral,square,long,minimal,daily,French Classic
cool,almond,medium,bold,party,Marble
neutral,oval,long,bold,wedding,Glitter Gold
neutral,almond,short,classic,daily,French Classic
warm,stiletto,short,bold,date,Cat Eye
cool,oval,long,bold,wedding,Marble
cool,coffin,medium,bold,party,Marble
neutral,square,medium,minimal,party,Terracotta Swirl
cool,round,long,minimal,daily,Minimal Nude
warm,round,long,minimal,party,Glitter Gold
neutral,coffin,medium,classic,date,Berry Jelly
neutral,round,long,minimal,party,Terracotta Swirl
cool,stiletto,medium,bold,wedding,Marble
neutral,round,short,classic,wedding,French Classic
cool,round,short,bold,daily,French Classic
neutral,coffin,medium,minimal,daily,Minimal Nude
neutral,square,long,minimal,work,Minimal Nude
cool,round,medium,classic,date,Korean Pink
warm,stiletto,long,classic,daily,French Classic
neutral,almond,medium,minimal,date,Minimal Nude
neutral,almond,long,bold,date,Terracotta Swirl
warm,almond,short,bold,daily,Minimal Nude
neutral,stiletto,short,bold,wedding,Terracotta Swirl
neutral,round,long,bold,date,Terracotta Swirl
neutral,almond,medium,minimal,party,Terracotta Swirl
neutral,round,medium,classic,party,Korean Pink
neutral,almond,medium,classic,wedding,Korean Pink
warm,coffin,short,minimal,wedding,Minimal Nude
neutral,squoval,medium,minimal,party,Terracotta Swirl
warm,almond,short,bold,work,Minimal Nude
cool,round,short,minimal,work,Minimal Nude
warm,coffin,long,minimal,daily,Minimal Nude
warm,almond,long,classic,wedding,Glitter Gold
cool,oval,medium,minimal,wedding,Korean Pink
warm,round,long,bold,party,Glitter Gold
neutral,squoval,long,minimal,daily,Minimal Nude
warm,squoval,medium,bold,daily,Cat Eye
warm,stiletto,medium,minimal,wedding,Minimal Nude
cool,round,short,bold,daily,French Classic
cool,stiletto,medium,classic,daily,French Classic
cool,oval,long,bold,date,Cat Eye
cool,stiletto,medium,bold,date,Cat Eye
neutral,coffin,short,classic,date,French Classic
warm,round,short,minimal,date,Minimal Nude
neutral,stiletto,short,bold,work,French Classic
cool,square,medium,classic,date,Korean Pink
warm,oval,short,minimal,work,Minimal Nude
cool,almond,long,classic,wedding,Korean Pink
neutral,stiletto,short,minimal,party,Minimal Nude
cool,square,medium,minimal,date,Korean Pink
neutral,oval,short,minimal,date,Minimal Nude
neutral,stiletto,short,classic,wedding,French Classic
warm,coffin,short,minimal,wedding,Minimal Nude
cool,coffin,long,classic,date,Korean Pink
neutral,almond,medium,bold,wedding,Terracotta Swirl
warm,round,medium,minimal,party,Minimal Nude
warm,coffin,short,bold,work,Minimal Nude
warm,oval,medium,bold,wedding,Glitter Gold
cool,oval,medium,minimal,daily,Minimal Nude
warm,square,short,bold,daily,Minimal Nude
cool,oval,long,bold,wedding,Marble
warm,oval,medium,minimal,work,Minimal Nude
neutral,oval,medium,bold,work,Cat Eye
warm,oval,medium,minimal,daily,Minimal Nude
warm,squoval,long,minimal,wedding,Glitter Gold
cool,squoval,short,classic,wedding,Korean Pink
neutral,stiletto,long,classic,daily,French Classic
warm,stiletto,short,minimal,date,Minimal Nude
cool,square,long,classic,work,Korean Pink
neutral,almond,short,bold,wedding,Terracotta Swirl
cool,oval,short,bold,wedding,Marble
neutral,almond,medium,minimal,daily,Minimal Nude
neutral,almond,short,minimal,date,Minimal Nude
neutral,stiletto,long,classic,party,Terracotta Swirl
warm,square,long,classic,date,Korean Pink
neutral,squoval,medium,classic,date,Korean Pink
neutral,coffin,short,minimal,work,Minimal Nude
cool,stiletto,short,classic,work,French Classic
cool,almond,short,classic,wedding,Korean Pink
warm,stiletto,short,classic,party,French Classic
warm,almond,short,classic,date,French Classic
cool,squoval,medium,classic,party,Korean Pink
cool,square,medium,classic,daily,French Classic
warm,square,long,minimal,wedding,Glitter Gold
cool,stiletto,long,bold,date,Marble
cool,oval,short,minimal,daily,Minimal Nude
neutral,oval,medium,minimal,wedding,Minimal Nude
neutral,stiletto,long,classic,work,French Classic
warm,stiletto,long,bold,date,Glitter Gold
warm,stiletto,medium,classic,wedding,Korean Pink
cool,squoval,long,bold,daily,Cat Eye
neutral,stiletto,short,classic,work,French Classic
neutral,oval,medium,minimal,date,Minimal Nude
neutral,stiletto,medium,bold,party,Terracotta Swirl
warm,square,short,classic,party,French Classic
cool,stiletto,long,minimal,wedding,Marble
warm,square,long,minimal,party,Glitter Gold
cool,square,short,classic,party,Korean Pink
cool,stiletto,long,bold,wedding,Marble
warm,almond,short,minimal,work,Minimal Nude
cool,almond,long,bold,date,Marble
cool,squoval,short,classic,daily,French Classic
warm,squoval,short,classic,date,French Classic
neutral,square,short,minimal,daily,Minimal Nude
warm,round,long,bold,party,Glitter Gold
warm,squoval,medium,minimal,work,Minimal Nude
neutral,round,medium,minimal,wedding,Minimal Nude
warm,square,medium,classic,work,French Classic
warm,almond,medium,classic,daily,French Classic
warm,oval,short,classic,party,French Classic
neutral,squoval,short,bold,date,Cat Eye
neutral,oval,long,bold,party,Terracotta Swirl
warm,oval,medium,minimal,party,Minimal Nude
warm,almond,medium,bold,party,Glitter Gold
neutral,round,long,minimal,wedding,Terracotta Swirl
cool,square,long,bold,wedding,Marble
warm,squoval,short,minimal,date,Minimal Nude
cool,squoval,long,minimal,date,Marble
warm,oval,short,classic,date,French Classic
warm,coffin,long,bold,work,Cat Eye
cool,stiletto,long,minimal,wedding,Marble
neutral,stiletto,medium,classic,party,Korean Pink
warm,almond,short,classic,daily,Korean Pink
neutral,coffin,medium,classic,wedding,Korean Pink
warm,squoval,short,minimal,wedding,Minimal Nude
warm,square,long,bold,party,Glitter Gold
warm,round,long,bold,work,Cat Eye
cool,oval,medium,classic,work,Korean Pink
warm,almond,short,minimal,wedding,Minimal Nude
neutral,squoval,short,minimal,daily,Minimal Nude
warm,squoval,medium,minimal,work,Minimal Nude
neutral,almond,short,classic,daily,French Classic
neutral,coffin,long,bold,daily,Terracotta Swirl
cool,squoval,short,bold,daily,Cat Eye
warm,oval,medium,minimal,work,French Classic
warm,round,medium,minimal,daily,Minimal Nude
warm,stiletto,long,minimal,work,Cat Eye
warm,stiletto,medium,classic,date,French Classic
neutral,oval,long,classic,party,Terracotta Swirl
warm,round,medium,classic,work,Korean Pink
cool,round,medium,minimal,party,Korean Pink
neutral,stiletto,medium,bold,date,Cat Eye
warm,oval,medium,classic,date,French Classic
warm,coffin,long,bold,work,Cat Eye
warm,almond,medium,bold,party,Glitter Gold
neutral,oval,medium,minimal,wedding,Minimal Nude
neutral,squoval,short,classic,daily,French Classic
neutral,squoval,medium,bold,work,Cat Eye
neutral,round,short,minimal,date,Minimal Nude
warm,square,short,bold,party,Glitter Gold
neutral,round,short,minimal,wedding,Minimal Nude
warm,oval,medium,minimal,daily,Minimal Nude
neutral,almond,medium,bold,wedding,Terracotta Swirl
cool,coffin,short,bold,party,Marble
cool,stiletto,short,minimal,wedding,Korean Pink
warm,almond,short,bold,work,Minimal Nude
neutral,coffin,short,bold,party,Terracotta Swirl
warm,squoval,long,minimal,daily,Minimal Nude
warm,oval,short,bold,work,Minimal Nude
warm,round,short,bold,date,Cat Eye
warm,oval,long,minimal,party,Glitter Gold
cool,oval,long,minimal,work,Minimal Nude
neutral,oval,medium,classic,date,Korean Pink
neutral,oval,medium,classic,daily,French Classic
cool,squoval,medium,minimal,party,Korean Pink
neutral,almond,long,classic,work,French Classic
cool,round,medium,classic,daily,French Classic
cool,almond,long,minimal,date,Korean Pink
cool,squoval,medium,classic,party,Korean Pink
neutral,almond,medium,minimal,wedding,Minimal Nude
cool,oval,short,minimal,daily,Korean Pink
neutral,coffin,medium,classic,party,Korean Pink
cool,coffin,medium,classic,party,Korean Pink
neutral,round,medium,minimal,daily,Minimal Nude
neutral,oval,short,classic,wedding,French Classic
neutral,square,long,bold,party,Terracotta Swirl
cool,coffin,short,bold,party,Marble
neutral,oval,short,classic,daily,French Classic
cool,coffin,long,bold,daily,Cat Eye
neutral,oval,medium,bold,party,Terracotta Swirl
warm,square,short,bold,date,Cat Eye
warm,round,short,minimal,party,Minimal Nude
neutral,round,long,minimal,party,Terracotta Swirl
cool,square,long,classic,date,Korean Pink
neutral,squoval,long,classic,party,Terracotta Swirl
neutral,stiletto,short,minimal,date,Minimal Nude
cool,stiletto,short,classic,work,French Classic
cool,coffin,medium,minimal,work,Minimal Nude
warm,round,short,bold,party,Glitter Gold
neutral,square,long,classic,work,French Classic
warm,coffin,short,minimal,party,Minimal Nude
warm,squoval,long,minimal,work,Minimal Nude
neutral,oval,short,classic,party,French Classic
neutral,round,long,minimal,daily,Minimal Nude
cool,round,medium,minimal,wedding,Korean Pink
cool,squoval,long,minimal,daily,Minimal Nude
neutral,almond,short,minimal,work,Minimal Nude
warm,squoval,long,bold,wedding,Glitter Gold
cool,stiletto,medium,bold,party,Marble
neutral,square,medium,minimal,wedding,Minimal Nude
cool,almond,short,classic,wedding,Korean Pink
warm,squoval,long,classic,work,French Classic
neutral,square,long,minimal,wedding,Terracotta Swirl
neutral,coffin,medium,bold,party,Terracotta Swirl
warm,coffin,medium,minimal,wedding,Minimal Nude
neutral,square,long,classic,work,French Classic
cool,coffin,long,minimal,wedding,Marble
cool,coffin,long,minimal,party,Marble
warm,coffin,short,bold,date,Cat Eye
neutral,almond,short,minimal,party,Minimal Nude
cool,stiletto,long,bold,party,Marble
cool,round,medium,bold,date,Cat Eye
warm,oval,long,bold,daily,Glitter Gold
neutral,round,short,classic,party,French Classic
warm,coffin,medium,bold,party,Glitter Gold
neutral,round,long,minimal,date,Minimal Nude
cool,round,long,classic,work,Korean Pink
neutral,round,long,classic,party,Terracotta Swirl
neutral,coffin,long,classic,date,Korean Pink
cool,stiletto,short,minimal,wedding,Korean Pink
warm,round,short,classic,date,French Classic
neutral,round,long,classic,work,French Classic
cool,almond,long,minimal,wedding,Berry Jelly
warm,stiletto,medium,classic,wedding,Korean Pink
neutral,stiletto,short,bold,date,Cat Eye
warm,squoval,short,bold,party,Glitter Gold
cool,stiletto,short,classic,party,Korean Pink
cool,oval,long,bold,daily,Cat Eye
cool,almond,long,minimal,wedding,Marble
neutral,almond,medium,bold,work,Cat Eye
neutral,squoval,short,classic,work,French Classic
warm,stiletto,long,minimal,daily,Minimal Nude
warm,stiletto,medium,bold,party,Glitter Gold
neutral,stiletto,short,minimal,date,Minimal Nude
cool,coffin,medium,classic,party,Korean Pink
neutral,coffin,medium,classic,work,French Classic
neutral,squoval,short,minimal,wedding,Minimal Nude
neutral,stiletto,short,bold,wedding,Terracotta Swirl
warm,almond,short,classic,party,French Classic
warm,oval,short,bold,work,Minimal Nude
warm,square,long,bold,daily,Glitter Gold
warm,squoval,medium,bold,work,Cat Eye
warm,square,medium,minimal,daily,Minimal Nude
neutral,coffin,medium,bold,party,Terracotta Swirl
neutral,coffin,medium,minimal,daily,Minimal Nude
cool,squoval,medium,bold,date,Cat Eye
neutral,coffin,medium,bold,daily,Cat Eye
neutral,squoval,medium,bold,party,Terracotta Swirl
warm,round,short,minimal,party,Minimal Nude
neutral,oval,short,bold,date,Cat Eye
cool,square,long,bold,daily,Cat Eye
warm,squoval,medium,bold,party,Glitter Gold
warm,round,medium,minimal,date,Minimal Nude
neutral,round,medium,bold,date,Cat Eye
neutral,squoval,short,bold,date,Cat Eye
neutral,round,short,bold,daily,French Classic
neutral,coffin,short,minimal,date,Minimal Nude
cool,round,short,minimal,date,Minimal Nude
warm,round,long,classic,daily,French Classic
neutral,square,medium,bold,work,Cat Eye
neutral,round,short,classic,daily,French Classic
neutral,stiletto,medium,bold,date,Cat Eye
neutral,squoval,long,classic,date,Korean Pink
cool,almond,long,bold,work,Cat Eye
neutral,stiletto,short,minimal,daily,Minimal Nude
cool,stiletto,short,minimal,date,Minimal Nude
neutral,square,medium,minimal,date,Minimal Nude
neutral,square,medium,classic,work,French Classic
warm,square,long,classic,work,French Classic
warm,coffin,long,classic,work,French Classic
neutral,coffin,long,bold,date,Terracotta Swirl
warm,square,medium,classic,daily,French Classic
warm,round,medium,minimal,date,Minimal Nude
neutral,squoval,short,classic,daily,French Classic
cool,stiletto,medium,minimal,work,Minimal Nude
warm,squoval,short,classic,daily,French Classic
warm,oval,long,bold,wedding,Glitter Gold
cool,round,long,classic,date,Korean Pink
neutral,square,long,minimal,daily,Minimal Nude
cool,oval,medium,bold,date,Cat Eye
cool,squoval,long,minimal,wedding,Berry Jelly
neutral,oval,long,minimal,work,Minimal Nude
neutral,square,short,bold,wedding,Terracotta Swirl
warm,coffin,long,classic,party,Glitter Gold
cool,stiletto,medium,bold,wedding,Marble
cool,almond,long,minimal,wedding,Marble
warm,square,medium,classic,daily,French Classic
warm,coffin,short,minimal,work,Minimal Nude
warm,coffin,medium,bold,party,Glitter Gold
warm,squoval,long,bold,work,Cat Eye
neutral,coffin,long,bold,daily,Terracotta Swirl
neutral,oval,long,minimal,party,Terracotta Swirl
neutral,square,short,bold,date,Cat Eye
warm,almond,medium,minimal,date,Minimal Nude
warm,round,medium,minimal,date,Minimal Nude
warm,squoval,medium,classic,work,French Classic
warm,square,long,minimal,date,Minimal Nude
warm,square,medium,classic,wedding,Korean Pink
warm,coffin,long,bold,party,Glitter Gold
cool,coffin,long,minimal,party,Marble
cool,round,medium,minimal,date,Korean Pink
cool,square,short,minimal,wedding,Korean Pink
warm,squoval,medium,minimal,daily,Minimal Nude
warm,round,long,bold,work,Cat Eye
cool,round,short,bold,wedding,Marble
cool,square,medium,classic,party,Korean Pink
neutral,stiletto,medium,minimal,party,Terracotta Swirl
cool,oval,short,classic,party,French Classic
warm,round,short,classic,daily,French Classic
cool,coffin,medium,minimal,work,Minimal Nude
cool,coffin,medium,minimal,party,Korean Pink
cool,stiletto,long,bold,work,Cat Eye
cool,almond,long,bold,party,Marble
warm,stiletto,short,minimal,work,Minimal Nude
warm,stiletto,long,minimal,daily,Minimal Nude
cool,squoval,long,bold,daily,Cat Eye
cool,square,medium,minimal,party,Korean Pink
warm,coffin,long,minimal,work,Minimal Nude
warm,stiletto,medium,bold,work,Cat Eye
cool,oval,medium,bold,daily,Cat Eye
neutral,almond,short,minimal,date,Minimal Nude
warm,oval,short,minimal,party,Minimal Nude
warm,squoval,short,bold,work,Minimal Nude
cool,squoval,long,classic,work,Korean Pink
cool,squoval,short,bold,party,Marble
cool,round,medium,classic,wedding,Korean Pink
neutral,squoval,short,classic,daily,French Classic
warm,round,long,bold,wedding,Glitter Gold
cool,square,long,minimal,party,Marble
cool,square,medium,classic,daily,French Classic
neutral,almond,short,classic,wedding,French Classic
cool,coffin,long,bold,date,Marble
neutral,square,short,bold,party,Terracotta Swirl
warm,coffin,long,bold,daily,Terracotta Swirl
warm,oval,long,classic,daily,Korean Pink
neutral,square,medium,bold,party,Terracotta Swirl
warm,almond,long,minimal,daily,Minimal Nude
cool,almond,long,classic,date,Korean Pink
cool,squoval,long,bold,daily,Cat Eye
warm,squoval,medium,bold,date,Cat Eye
warm,almond,medium,bold,work,Cat Eye
neutral,round,long,minimal,party,Terracotta Swirl
neutral,stiletto,long,minimal,work,Minimal Nude
neutral,squoval,long,classic,party,Terracotta Swirl
warm,oval,short,minimal,date,Minimal Nude
neutral,round,long,classic,date,Korean Pink
neutral,square,medium,minimal,wedding,Minimal Nude
neutral,round,short,minimal,daily,Minimal Nude
cool,round,long,minimal,wedding,Marble
cool,stiletto,short,bold,work,French Classic
warm,almond,short,minimal,wedding,Minimal Nude
cool,square,short,bold,date,Cat Eye
warm,squoval,long,classic,wedding,Glitter Gold
neutral,stiletto,short,classic,work,French Classic
cool,oval,medium,minimal,date,Korean Pink
neutral,round,long,bold,party,Terracotta Swirl
cool,stiletto,long,bold,date,Marble
cool,oval,medium,classic,work,Korean Pink
cool,oval,medium,minimal,party,Korean Pink
cool,round,medium,minimal,party,Korean Pink
warm,oval,long,classic,work,French Classic
warm,square,short,minimal,party,Minimal Nude
warm,round,short,minimal,party,Minimal Nude
neutral,squoval,short,bold,date,Cat Eye
warm,almond,short,classic,party,French Classic
neutral,round,short,minimal,daily,Minimal Nude
neutral,almond,short,minimal,daily,Minimal Nude
cool,stiletto,long,minimal,work,Minimal Nude
neutral,squoval,short,classic,wedding,French Classic
warm,round,long,bold,wedding,Glitter Gold
warm,round,short,minimal,date,Minimal Nude
neutral,stiletto,medium,minimal,daily,Minimal Nude
warm,oval,medium,classic,work,French Classic
cool,oval,long,classic,daily,Korean Pink
warm,oval,short,classic,wedding,Korean Pink
warm,square,short,minimal,date,Minimal Nude
cool,almond,medium,bold,work,Cat Eye
warm,coffin,long,classic,date,Korean Pink
cool,round,medium,classic,wedding,Korean Pink
neutral,stiletto,short,minimal,work,Minimal Nude
warm,square,short,classic,party,French Classic
cool,stiletto,short,minimal,date,Minimal Nude
neutral,square,short,minimal,wedding,Minimal Nude
warm,stiletto,medium,classic,wedding,Korean Pink
cool,coffin,medium,bold,wedding,Marble
neutral,oval,medium,classic,date,Korean Pink
neutral,squoval,long,bold,work,Cat Eye
neutral,coffin,medium,bold,date,Cat Eye
neutral,oval,long,minimal,work,Minimal Nude
warm,stiletto,short,classic,date,French Classic
warm,round,short,classic,wedding,French Classic
warm,square,medium,minimal,date,Minimal Nude
cool,oval,short,minimal,daily,Minimal Nude
warm,coffin,long,minimal,party,Glitter Gold
neutral,squoval,medium,minimal,daily,Minimal Nude
warm,squoval,long,minimal,daily,Minimal Nude
warm,round,short,minimal,daily,Minimal Nude
cool,oval,short,classic,work,French Classic
neutral,square,medium,classic,wedding,Korean Pink
neutral,coffin,short,classic,daily,French Classic
neutral,round,long,minimal,date,Minimal Nude
cool,stiletto,medium,bold,party,Marble
cool,almond,long,classic,work,Korean Pink
warm,square,short,bold,party,Glitter Gold
warm,coffin,short,classic,date,Minimal Nude
warm,stiletto,long,bold,date,Glitter Gold
neutral,squoval,medium,classic,party,Korean Pink
warm,round,medium,bold,party,Glitter Gold
warm,round,short,classic,date,French Classic
cool,round,short,classic,work,French Classic
warm,oval,long,minimal,wedding,Glitter Gold
warm,coffin,short,minimal,wedding,Cat Eye
neutral,round,long,classic,daily,French Classic
cool,round,medium,classic,party,Korean Pink
cool,stiletto,medium,bold,wedding,Marble
neutral,coffin,short,classic,party,French Classic
neutral,round,long,minimal,daily,Minimal Nude
cool,squoval,long,minimal,wedding,Marble
neutral,squoval,short,bold,daily,French Classic
warm,oval,long,bold,work,Cat Eye
warm,almond,long,bold,date,Glitter Gold
cool,squoval,short,classic,wedding,Korean Pink
cool,round,long,bold,party,Marble
neutral,almond,short,minimal,date,Minimal Nude
cool,round,short,minimal,wedding,Korean Pink
warm,squoval,short,classic,wedding,French Classic
cool,oval,short,classic,date,Korean Pink
warm,round,short,bold,party,Glitter Gold
cool,square,medium,bold,work,Cat Eye
neutral,squoval,short,classic,wedding,French Classic
neutral,coffin,short,classic,wedding,French Classic
neutral,square,medium,minimal,party,Terracotta Swirl
cool,coffin,short,bold,daily,French Classic
warm,coffin,long,minimal,work,Minimal Nude
cool,squoval,short,bold,party,Marble
warm,squoval,medium,bold,daily,Cat Eye
cool,coffin,long,classic,daily,Berry Jelly
warm,squoval,medium,minimal,party,Minimal Nude
cool,square,long,classic,work,Korean Pink
cool,round,medium,classic,daily,French Classic
cool,oval,long,minimal,wedding,Marble
neutral,stiletto,medium,minimal,wedding,Minimal Nude
cool,oval,short,minimal,daily,Minimal Nude
neutral,squoval,medium,classic,work,French Classic
cool,squoval,short,classic,party,Korean Pink
neutral,oval,long,classic,work,French Classic
warm,squoval,medium,classic,work,French Classic
cool,squoval,medium,bold,work,Cat Eye
cool,square,long,bold,party,Marble
neutral,stiletto,long,minimal,daily,Minimal Nude
neutral,almond,short,classic,wedding,Korean Pink
warm,squoval,medium,minimal,party,Minimal Nude
neutral,round,medium,minimal,party,Terracotta Swirl
neutral,round,short,minimal,work,Minimal Nude
neutral,stiletto,short,bold,party,Terracotta Swirl
warm,oval,long,bold,daily,Glitter Gold
cool,round,medium,classic,date,Korean Pink
warm,coffin,medium,bold,party,Glitter Gold
cool,square,long,classic,date,Korean Pink
cool,round,short,classic,party,Korean Pink
neutral,almond,short,bold,party,Terracotta Swirl
neutral,coffin,long,classic,wedding,Korean Pink
warm,round,short,minimal,daily,Minimal Nude
cool,round,medium,bold,date,Cat Eye
warm,coffin,medium,bold,date,Cat Eye
neutral,square,medium,minimal,work,Minimal Nude
neutral,squoval,short,minimal,party,Minimal Nude
cool,stiletto,medium,classic,party,Berry Jelly
warm,almond,medium,classic,wedding,Korean Pink
cool,coffin,short,minimal,party,Korean Pink
warm,stiletto,medium,bold,date,Cat Eye
warm,almond,medium,minimal,date,Minimal Nude
warm,almond,long,classic,daily,French Classic
neutral,squoval,short,bold,party,Terracotta Swirl
warm,squoval,medium,bold,work,Cat Eye
warm,coffin,short,bold,daily,Minimal Nude
cool,stiletto,long,classic,date,Korean Pink
cool,oval,short,minimal,daily,Minimal Nude
neutral,stiletto,long,minimal,daily,Minimal Nude
neutral,round,long,classic,daily,French Classic
warm,squoval,long,bold,wedding,Glitter Gold
neutral,oval,medium,minimal,date,Minimal Nude
neutral,stiletto,medium,classic,daily,French Classic
warm,coffin,short,bold,date,Cat Eye
warm,squoval,long,minimal,daily,Minimal Nude
cool,oval,short,minimal,party,Korean Pink
warm,squoval,short,classic,daily,French Classic
cool,coffin,short,minimal,party,Korean Pink
cool,coffin,medium,minimal,work,Minimal Nude
warm,coffin,long,bold,date,Glitter Gold
warm,square,medium,classic,date,French Classic
warm,oval,long,bold,wedding,Glitter Gold
warm,almond,short,bold,daily,Minimal Nude
warm,oval,medium,minimal,work,Minimal Nude
warm,round,long,bold,work,Cat Eye
cool,oval,short,classic,date,Korean Pink
cool,coffin,medium,classic,date,Korean Pink
warm,square,short,minimal,wedding,Minimal Nude
warm,almond,long,classic,work,French Classic
neutral,squoval,medium,classic,party,Korean Pink
cool,stiletto,medium,bold,daily,Cat Eye
cool,oval,long,classic,wedding,Korean Pink
warm,squoval,short,minimal,date,Minimal Nude
cool,square,long,bold,date,Marble
warm,round,short,classic,party,French Classic
cool,oval,short,minimal,wedding,Korean Pink
cool,round,short,classic,daily,French Classic
warm,squoval,long,classic,work,French Classic
cool,square,long,minimal,date,Korean Pink
neutral,square,long,bold,daily,Terracotta Swirl
neutral,squoval,long,classic,wedding,Korean Pink
warm,oval,short,classic,party,Korean Pink
cool,round,short,classic,work,French Classic
neutral,squoval,short,bold,daily,French Classic
neutral,stiletto,long,minimal,party,Terracotta Swirl
cool,round,long,bold,daily,Cat Eye
warm,round,medium,minimal,party,Minimal Nude
cool,square,medium,classic,daily,French Classic
cool,squoval,long,minimal,party,Marble
cool,squoval,long,minimal,wedding,Marble
warm,round,short,minimal,daily,Minimal Nude
cool,stiletto,long,bold,party,Marble
warm,oval,long,classic,date,Korean Pink
neutral,stiletto,short,classic,daily,French Classic
cool,round,medium,classic,date,Korean Pink
cool,square,long,minimal,work,Minimal Nude
warm,oval,medium,minimal,date,Minimal Nude
cool,coffin,medium,bold,daily,Cat Eye
warm,almond,medium,bold,party,Glitter Gold
cool,stiletto,long,classic,work,Berry Jelly
neutral,round,medium,bold,work,Cat Eye
neutral,stiletto,short,bold,daily,Minimal Nude
warm,oval,short,bold,work,Minimal Nude
cool,oval,medium,minimal,wedding,Korean Pink
neutral,stiletto,long,bold,wedding,Terracotta Swirl
cool,coffin,medium,bold,work,Cat Eye
warm,oval,short,classic,party,French Classic
neutral,almond,short,classic,work,Minimal Nude
warm,coffin,medium,bold,daily,Cat Eye
warm,coffin,short,minimal,daily,Minimal Nude
warm,square,short,classic,date,French Classic
cool,round,long,minimal,wedding,Marble
warm,squoval,long,classic,date,Korean Pink
cool,square,medium,minimal,daily,Minimal Nude
neutral,squoval,short,classic,work,French Classic
neutral,square,long,bold,party,Terracotta Swirl
warm,coffin,short,bold,work,Minimal Nude
warm,round,short,minimal,date,Minimal Nude
warm,almond,short,classic,work,French Classic
neutral,coffin,medium,classic,party,Korean Pink
neutral,stiletto,long,classic,party,Terracotta Swirl
warm,square,long,classic,date,Korean Pink
warm,round,short,bold,date,Cat Eye
cool,stiletto,long,minimal,work,Minimal Nude
warm,oval,short,classic,party,French Classic
warm,coffin,medium,classic,wedding,Glitter Gold
warm,oval,long,minimal,date,Minimal Nude
cool,almond,short,classic,work,French Classic
warm,stiletto,short,bold,wedding,Glitter Gold
neutral,almond,short,minimal,daily,Korean Pink
cool,squoval,medium,bold,wedding,Marble
cool,coffin,medium,classic,wedding,Korean Pink
cool,square,long,classic,date,Korean Pink
neutral,squoval,short,classic,date,French Classic
warm,oval,medium,minimal,work,Minimal Nude
warm,oval,long,bold,party,Glitter Gold
neutral,round,short,classic,daily,French Classic
neutral,coffin,long,classic,date,Korean Pink
neutral,square,medium,classic,date,Korean Pink
cool,square,short,minimal,date,Minimal Nude
cool,stiletto,long,minimal,party,Marble
neutral,stiletto,medium,classic,daily,French Classic
cool,coffin,short,classic,work,French Classic
cool,almond,long,bold,work,Cat Eye
cool,round,medium,minimal,party,Marble
neutral,round,short,classic,wedding,Korean Pink
neutral,stiletto,short,minimal,wedding,Minimal Nude
cool,stiletto,long,bold,date,Marble
warm,coffin,medium,minimal,work,Minimal Nude
warm,square,short,minimal,party,Minimal Nude
warm,stiletto,long,bold,party,Glitter Gold
warm,square,medium,bold,wedding,Glitter Gold
cool,coffin,medium,bold,work,Cat Eye
warm,square,short,classic,date,French Classic
cool,round,medium,bold,party,Marble
cool,stiletto,medium,minimal,work,Minimal Nude
neutral,square,long,bold,wedding,Terracotta Swirl
cool,squoval,medium,classic,party,Marble
warm,stiletto,medium,minimal,work,Minimal Nude
cool,stiletto,short,bold,date,Cat Eye
neutral,almond,long,classic,daily,French Classic
cool,oval,medium,bold,daily,Cat Eye
neutral,squoval,short,minimal,daily,Minimal Nude
neutral,round,medium,bold,daily,Cat Eye
neutral,squoval,long,classic,daily,French Classic
neutral,coffin,long,bold,daily,Terracotta Swirl
